iter	RMSE
287	40423.25255
288	40420.08634
289	40415.54202
290	40411.21455
291	40409.86009
292	40407.67955
293	40394.9393
294	40391.26697
295	40389.86268
296	40378.77365
297	40372.13565
298	40368.70602
299	40366.32607
300	40365.27248
301	40363.01415
302	40352.44027
303	40348.00766
304	40342.69322
305	40332.6623
306	40331.53523
307	40325.33901
308	40319.71029
309	40308.37971
310	40300.16103
311	40295.60741
312	40286.79696
313	40285.0417
314	40278.5785
315	40270.67913
316	40269.50236
317	40264.37099
318	40261.84338
319	40256.2111
320	40253.23313
321	40249.22856
322	40234.36878
323	40229.25801
324	40227.39023
325	40223.53576
326	40219.41795
327	40213.2707
328	40209.16903
329	40205.33227
330	40201.5593
331	40200.28648
332	40199.56315
333	40195.76538
334	40195.46433
335	40194.28312
336	40188.12004
337	40176.50721
338	40173.88262
339	40172.39488
340	40171.72962
341	40168.15404
342	40166.45708
343	40157.79475
344	40156.50225
345	40154.26985
346	40142.85011
347	40140.76033
348	40139.4263
349	40135.05139
350	40130.97116
351	40127.57333
352	40126.67331
353	40125.33602
354	40125.04275
355	40120.87367
356	40112.16837
357	40111.39151
358	40110.08553
359	40106.68956
360	40100.55512
361	40090.961
362	40085.75635
363	40083.6102
364	40079.74239
365	40078.99977
366	40069.76501
367	40061.90739
368	40054.32364
369	40045.51597
370	40037.5215
371	40028.9814
372	40022.87728
373	40021.34755
374	40017.80914
375	40012.4369
376	40010.95468
377	40007.76072
378	40007.11677
379	40006.96503
380	40001.09934
381	39997.72953
382	39987.53338
383	39983.97819
384	39980.80403
385	39978.29394
386	39973.97953
387	39966.24194
388	39959.87282
389	39956.56932
390	39954.53076
391	39950.91781
392	39947.33276
393	39936.95902
394	39933.71738
395	39932.84654
396	39929.6026
397	39928.43816
398	39927.87479
399	39924.74558
400	39921.71553
401	39918.49841
402	39914.59048
403	39904.46209
404	39901.71051
405	39898.52642
406	39897.74589
407	39897.145
408	39894.06696
409	39890.85838
410	39882.33104
411	39881.36273
412	39871.39233
413	39869.05346
414	39866.67259
415	39866.22999
416	39863.85541
417	39860.57014
418	39859.90931
419	39854.53253
420	39850.74001
421	39844.44975
422	39841.04715
423	39838.51198
424	39837.73417
425	39833.92407
426	39833.36831
427	39827.73524
428	39824.11085
429	39823.50762
430	39814.2159
431	39812.6987
432	39809.3798
433	39799.59676
434	39798.96348
435	39798.03597
436	39795.70747
437	39795.36632
438	39791.21088
439	39790.33651
440	39788.20869
441	39785.63876
442	39779.83405
443	39779.37062
444	39776.85336
445	39770.12404
446	39769.74177
447	39767.6053
448	39766.28239
449	39763.4525
450	39763.29271
451	39762.92487
452	39759.66631
453	39753.29224
454	39750.01189
455	39749.96059
456	39748.80584
457	39745.72587
458	39737.80164
459	39730.7409
460	39727.3362
461	39725.0201
462	39724.66921
463	39720.99673
464	39713.36681
465	39712.00553
466	39710.74702
467	39702.97427
468	39694.28203
469	39694.23961
470	39693.22573
471	39690.98687
472	39685.05852
473	39677.73205
474	39677.47188
475	39676.87609
476	39673.66093
477	39670.94902
478	39665.12295
479	39664.11989
480	39663.68864
481	39661.02864
482	39658.0955
483	39657.42488
484	39649.52364
485	39643.70469
486	39635.03156
487	39634.31385
488	39633.60092
489	39625.08325
490	39623.60264
491	39619.22714
492	39617.52226
493	39610.47499
494	39609.88513
495	39608.63568
496	39606.30379
497	39604.92609
498	39604.43425
499	39596.63713
500	39596.34105
501	39591.42031
502	39590.14522
503	39586.81268
504	39585.86106
505	39580.31334
506	39577.7533
507	39575.85538
508	39573.78993
509	39573.45153
510	39572.74418
511	39572.39425
512	39567.32546
513	39565.25925
514	39559.84046
515	39554.37732
516	39550.76202
517	39549.81806
518	39549.23996
519	39547.77212
520	39541.62592
521	39540.89016
522	39538.60313
523	39536.43955
524	39534.48549
525	39533.16148
526	39528.64467
527	39527.09121
528	39521.2893
529	39515.29681
530	39514.00906
531	39511.73492
532	39507.48605
533	39506.93402
534	39504.51113
535	39504.16348
536	39499.92986
537	39498.42476
538	39497.53416
539	39496.10416
540	39495.27137
541	39494.98007
542	39493.12986
543	39487.93368
544	39481.86533
545	39481.5647
546	39480.43539
547	39480.19472
548	39479.8893
549	39474.27109
550	39472.99231
551	39471.21622
552	39465.69615
553	39463.706
554	39463.27908
555	39462.71807
556	39462.5461
557	39461.09772
558	39455.39607
559	39455.08421
560	39450.95366
561	39445.11593
562	39443.5397
563	39442.20173
564	39441.45826
565	39441.30018
566	39439.87764
567	39438.48765
568	39432.61667
569	39432.26331
570	39431.9961
571	39431.16349
572	39429.41233
573	39424.1829
574	39417.29021
575	39416.10107
576	39415.05899
577	39413.58298
578	39406.94203
579	39406.60949
580	39400.73544
581	39400.1605
582	39397.10023
583	39392.74786
584	39390.18019
585	39388.86454
586	39387.84325
587	39384.88113
588	39384.7362
589	39378.75901
590	39372.60716
591	39371.37342
592	39369.7431
593	39367.63422
594	39366.28803
595	39365.94693
596	39365.90967
597	39365.70549
598	39363.84303
599	39361.77754
600	39359.10262
601	39358.07816
602	39356.0522
603	39350.05552
604	39349.79828
605	39349.16215
606	39347.46494
607	39346.11337
608	39342.87437
609	39341.85767
610	39341.70524
611	39337.27965
612	39334.91767
613	39334.65819
614	39334.12147
615	39332.88757
616	39330.74996
617	39330.66097
618	39328.35592
619	39322.18415
620	39317.92642
621	39317.35201
622	39311.82244
623	39311.42736
624	39309.16719
625	39308.97714
626	39305.53657
627	39302.54474
628	39301.65302
629	39300.62659
630	39294.28872
631	39293.95283
632	39292.80465
633	39287.42428
634	39283.59127
635	39279.7766
636	39278.48152
637	39277.48175
638	39276.21011
639	39276.08472
640	39275.672
641	39275.57332
642	39274.10405
643	39272.99457
644	39268.2888
645	39267.55115
646	39266.57107
647	39265.69713
648	39264.11574
649	39261.15515
650	39256.81265
651	39256.66431
652	39253.84795
653	39252.7081
654	39252.50158
655	39252.35275
656	39250.12128
657	39248.8526
658	39246.41293
659	39245.44197
660	39245.22852
661	39244.45859
662	39244.09337
663	39243.99233
664	39239.74872
665	39239.26068
666	39238.62853
667	39238.17464
668	39237.95888
669	39237.05824
670	39236.04997
671	39231.01
672	39229.87486
673	39227.19677
674	39225.43262
675	39224.99628
676	39223.89438
677	39222.56927
678	39222.4339
679	39220.62763
680	39219.60163
681	39218.53211
682	39214.39308
683	39214.04679
684	39213.94326
685	39212.8022
686	39209.91428
687	39208.10602
688	39207.88465
689	39204.7019
690	39201.91042
691	39200.56903
692	39197.43325
693	39196.39375
694	39195.6312
695	39192.58999
696	39190.86274
697	39190.69563
698	39188.70784
699	39184.18861
700	39182.94487
701	39179.94467
702	39178.0892
703	39177.50902
704	39176.67237
705	39175.72371
706	39175.39994
707	39174.34474
708	39173.48733
709	39172.27516
710	39169.35775
711	39166.57355
712	39166.2885
713	39164.43041
714	39164.09941
715	39159.7063
716	39159.64035
717	39157.42254
718	39156.57316
719	39154.86486
720	39153.40595
721	39152.79091
722	39151.14378
723	39148.84571
724	39148.74815
725	39148.50635
726	39146.66333
727	39145.82737
728	39144.24663
729	39139.37293
730	39138.74612
731	39138.11752
732	39134.90445
733	39134.64105
734	39133.31796
735	39132.89866
736	39131.4087
737	39128.12959
738	39127.75383
739	39125.95235
740	39124.75723
741	39123.7012
742	39122.88198
743	39122.7973
744	39118.63233
745	39118.56465
746	39117.69016
747	39116.16068
748	39113.72789
749	39109.12955
750	39107.63417
751	39103.88912
752	39103.29066
753	39099.0703
754	39096.33103
755	39095.95627
756	39095.3565
757	39095.21518
758	39090.54345
759	39089.1908
760	39088.11259
761	39086.00899
762	39084.82919
763	39084.00206
764	39082.80377
765	39081.58153
766	39080.68117
767	39080.17234
768	39080.1165
769	39077.2386
770	39076.93225
771	39075.96992
772	39075.48547
773	39074.32361
774	39073.84882
775	39073.76929
776	39073.08619
777	39070.67596
778	39070.57932
779	39067.0104
780	39063.33754
781	39059.88133
782	39059.31795
783	39059.22941
784	39056.9335
785	39052.80459
786	39052.17259
787	39051.91618
788	39050.39863
789	39050.35615
790	39049.40974
791	39049.31514
792	39048.09953
793	39047.97687
794	39045.91492
795	39045.46196
796	39043.07326
797	39042.16608
798	39041.57324
799	39038.34135
800	39036.78342
801	39032.71163
802	39031.33579
803	39031.13906
804	39030.66902
805	39028.58317
806	39024.9705
807	39023.38911
808	39021.17938
809	39019.08958
810	39016.142
811	39013.71295
812	39012.81827
813	39010.19138
814	39007.36636
815	39007.31107
816	39004.75958
817	39001.94063
818	38999.07315
819	38997.7827
820	38995.46488
821	38991.54215
822	38988.83749
823	38984.492
824	38983.68001
825	38983.35224
826	38981.81275
827	38980.52366
828	38979.97969
829	38979.92682
830	38977.79675
831	38976.84553
832	38972.24091
833	38970.63996
834	38970.31076
835	38970.18281
836	38970.07566
837	38968.85125
838	38968.60032
839	38965.95133
840	38963.33455
841	38960.75924
842	38960.61824
843	38959.13193
844	38956.53241
845	38955.19694
846	38952.9939
847	38951.46254
848	38950.84256
849	38950.22694
850	38950.12586
851	38949.34913
852	38949.29368
853	38947.40313
854	38944.19956
855	38944.17379
856	38943.30225
857	38942.95424
858	38942.86308
859	38942.09432
860	38940.1582
861	38937.86325
862	38936.50477
863	38933.60737
864	38933.17494
865	38932.95849
866	38931.79706
867	38931.63834
868	38931.47336
869	38929.97573
870	38927.4403
871	38927.04251
872	38926.85566
873	38924.08373
874	38923.72377
875	38923.68035
876	38923.13792
877	38923.03866
878	38921.78982
879	38921.37693
880	38917.89856
881	38915.95827
882	38915.69651
883	38915.16054
884	38915.06489
885	38915.06072
886	38913.45605
887	38911.04832
888	38910.57349
889	38906.83903
890	38904.41228
891	38902.72676
892	38900.13156
893	38900.07656
894	38900.00726
895	38898.84342
896	38897.20464
897	38896.94712
898	38896.33841
899	38895.72087
900	38895.17895
901	38894.02723
902	38893.70202
903	38891.125
904	38890.55153
905	38889.94942
906	38886.68566
907	38884.77036
908	38883.89637
909	38883.1177
910	38882.56506
911	38882.16788
912	38881.98101
913	38881.75843
914	38880.88216
915	38878.15551
916	38875.90116
917	38871.31939
918	38870.4379
919	38869.8945
920	38869.31429
921	38868.83357
922	38868.61873
923	38868.57787
924	38865.6097
925	38865.56759
926	38863.29646
927	38863.08831
928	38862.03211
929	38859.58007
930	38857.2898
931	38856.65546
932	38855.74605
933	38855.20362
934	38854.0589
935	38853.65697
936	38853.21913
937	38852.85386
938	38851.97905
939	38849.94523
940	38848.56906
941	38847.90713
942	38846.89227
943	38844.82612
944	38843.17931
945	38842.7656
946	38842.19793
947	38841.4053
948	38840.05254
949	38839.34738
950	38837.33107
951	38836.95616
952	38836.56409
953	38836.08144
954	38834.89599
955	38833.58346
956	38833.45086
957	38831.89909
958	38830.78621
959	38828.93485
960	38827.02089
961	38825.09837
962	38824.64144
963	38823.83802
964	38823.27555
965	38821.23497
966	38819.88622
967	38819.45645
968	38817.39473
969	38814.77017
970	38813.67806
971	38812.68501
972	38812.26865
973	38811.45139
974	38811.04526
975	38810.40514
976	38807.83616
977	38806.34376
978	38805.38381
979	38802.42453
980	38800.61612
981	38798.97062
982	38797.23442
983	38796.92021
984	38796.80388
985	38794.59232
986	38794.00471
987	38792.83414
988	38792.23585
989	38791.9189
990	38791.14651
991	38789.24183
992	38788.28059
993	38785.90622
994	38783.89417
995	38782.82635
996	38781.51168
997	38781.26327
998	38780.96566
999	38779.35818
